iter	Passed	Remaining
406	6509	9484
407	6524	9467
408	6539	9449
409	6554	9432
410	6568	9413
411	6583	9396
412	6598	9377
413	6612	9359
414	6628	9344
415	6647	9332
416	6663	9315
417	6679	9300
418	6706	9298
419	6734	9300
420	6754	9289
421	6770	9273
422	6785	9255
423	6799	9236
424	6815	9220
425	6832	9206
426	6850	9192
427	6868	9179
428	6886	9166
429	6902	9150
430	6919	9134
431	6933	9116
432	6948	9099
433	6964	9083
434	6979	9065
435	6993	9046
436	7008	9029
437	7022	9010
438	7038	8993
439	7052	8975
440	7066	8957
441	7080	8939
442	7095	8921
443	7110	8903
444	7124	8885
445	7138	8866
446	7166	8865
447	7182	8849
448	7197	8833
449	7214	8817
450	7230	8801
451	7246	8785
452	7270	8779
453	7288	8764
454	7307	8752
455	7322	8736
456	7338	8720
457	7355	8704
458	7371	8687
459	7385	8669
460	7400	8653
461	7416	8636
462	7432	8619
463	7449	8605
464	7465	8589
465	7482	8574
466	7497	8557
467	7513	8540
468	7527	8523
469	7543	8506
470	7557	8488
471	7572	8470
472	7586	8452
473	7600	8434
474	7614	8416
475	7630	8399
476	7644	8381
477	7660	8365
478	7675	8348
479	7689	8330
480	7704	8312
481	7719	8296
482	7734	8278
483	7749	8262
484	7764	8244
485	7779	8228
486	7794	8210
487	7809	8193
488	7824	8176
489	7839	8159
490	7855	8143
491	7869	8125
492	7883	8107
493	7898	8090
494	7913	8073
495	7929	8057
496	7946	8042
497	7964	8028
498	7982	8014
499	8002	8002
500	8020	7988
501	8037	7972
502	8053	7957
503	8068	7940
504	8085	7925
505	8099	7907
506	8115	7891
507	8129	7873
508	8144	7856
509	8159	7839
510	8176	7824
511	8193	7809
512	8210	7794
513	8230	7781
514	8247	7766
515	8262	7750
516	8278	7733
517	8293	7717
518	8308	7700
519	8323	7683
520	8339	7666
521	8354	7650
522	8369	7633
523	8385	7616
524	8399	7599
525	8414	7582
526	8429	7565
527	8444	7548
528	8458	7531
529	8472	7513
530	8487	7496
531	8503	7480
532	8518	7463
533	8533	7446
534	8547	7428
535	8561	7411
536	8575	7393
537	8589	7376
538	8603	7358
539	8618	7341
540	8633	7325
541	8650	7309
542	8665	7292
543	8679	7275
544	8695	7259
545	8710	7242
546	8725	7225
547	8743	7211
548	8760	7197
549	8778	7182
550	8796	7167
551	8814	7153
552	8831	7138
553	8847	7123
554	8864	7107
555	8879	7090
556	8894	7073
557	8908	7056
558	8923	7040
559	8938	7023
560	8953	7006
561	8967	6989
562	8982	6972
563	8997	6955
564	9011	6938
565	9026	6921
566	9042	6905
567	9059	6890
568	9074	6873
569	9089	6857
570	9106	6842
571	9122	6826
572	9141	6812
573	9156	6795
574	9171	6778
575	9186	6761
576	9201	6745
577	9216	6729
578	9231	6712
579	9246	6695
580	9261	6679
581	9278	6663
582	9294	6647
583	9308	6630
584	9324	6614
585	9338	6597
586	9353	6580
587	9367	6563
588	9382	6547
589	9396	6529
590	9410	6512
591	9426	6496
592	9442	6480
593	9457	6463
594	9471	6446
595	9485	6430
596	9500	6413
597	9514	6396
598	9529	6379
599	9543	6362
600	9558	6346
601	9573	6329
602	9587	6311
603	9603	6296
604	9616	6278
605	9631	6262
606	9646	6245
607	9660	6228
608	9674	6211
609	9690	6195
610	9705	6179
611	9720	6162
612	9735	6146
613	9749	6129
614	9766	6114
615	9787	6101
616	9804	6086
617	9820	6070
618	9834	6053
619	9849	6036
620	9864	6020
621	9878	6003
622	9895	5987
623	9910	5971
624	9925	5955
625	9939	5938
626	9954	5922
627	9969	5905
628	9983	5888
629	9998	5872
630	10013	5855
631	10027	5839
632	10043	5822
633	10059	5807
634	10074	5790
635	10089	5774
636	10103	5757
637	10119	5742
638	10135	5725
639	10151	5709
640	10166	5693
641	10181	5677
642	10197	5661
643	10214	5646
644	10228	5629
645	10242	5612
646	10257	5596
647	10273	5580
648	10288	5564
649	10303	5548
650	10320	5532
651	10335	5516
652	10353	5501
653	10368	5485
654	10383	5469
655	10400	5453
656	10416	5438
657	10432	5422
658	10446	5405
659	10460	5388
660	10475	5372
661	10490	5356
662	10504	5339
663	10519	5323
664	10534	5306
665	10549	5290
666	10564	5274
667	10578	5257
668	10593	5241
669	10608	5224
670	10622	5208
671	10637	5192
672	10652	5175
673	10666	5159
674	10680	5142
675	10695	5126
676	10710	5109
677	10724	5093
678	10739	5077
679	10753	5060
680	10768	5044
681	10783	5028
682	10799	5012
683	10817	4997
684	10833	4981
685	10859	4970
686	10874	4954
687	10888	4938
688	10906	4923
689	10923	4907
690	10938	4891
691	10953	4875
692	10969	4859
693	10985	4843
694	11006	4829
695	11022	4814
696	11038	4798
697	11053	4782
698	11069	4766
699	11085	4751
700	11101	4735
